ID,Text,Entity,Entity_Label,Confidence_Score,Comment
18,HSBC transferred €2 million to Deutsche Bank on Tuesday.,HSBC,ORGANIZATION,0.96,
18,HSBC transferred €2 million to Deutsche Bank on Tuesday.,€2 million,MONEY,0.94,Currency formatting variation
18,HSBC transferred €2 million to Deutsche Bank on Tuesday.,Deutsche Bank,ORGANIZATION,0.97,
18,HSBC transferred €2 million to Deutsche Bank on Tuesday.,Tuesday,DATE,0.92,Relative calendar reference
19,Taylor Swift released the album Midnights in 2022.,Taylor Swift,PERSON,0.98,
19,Taylor Swift released the album Midnights in 2022.,Midnights,PRODUCT,0.93,Album treated as product
19,Taylor Swift released the album Midnights in 2022.,2022,DATE,0.95,
20,The Dubai Expo 2020 concluded in March 2022.,Dubai Expo 2020,EVENT,0.95,Year inside event name boundary sensitive
20,The Dubai Expo 2020 concluded in March 2022.,Mar-22,DATE,0.94,
21,Ratan Tata invested in a new startup in Mumbai.,Ratan Tata,PERSON,0.95,
21,Ratan Tata invested in a new startup in Mumbai.,Mumbai,LOCATION,0.96,
22,The FIFA World Cup 2026 will be hosted in the United States.,FIFA World Cup 2026,EVENT,0.93,
22,The FIFA World Cup 2026 will be hosted in the United States.,United States,LOCATION,0.94,
23,Tesla launched the Model Y in March 2020.,Tesla,ORGANIZATION,0.97,
23,Tesla launched the Model Y in March 2020.,Model Y,PRODUCT,0.92,
23,Tesla launched the Model Y in March 2020.,Mar-20,DATE,0.91,
24,Sundar Pichai spoke at the Google I/O event.,Sundar Pichai,PERSON,0.96,
24,Sundar Pichai spoke at the Google I/O event.,Google I/O,EVENT,0.9,Ambiguous between EVENT and PRODUCT conference branding
25,The meeting is scheduled for 10:30 AM tomorrow.,10:30 AM,TIME,0.95,
25,The meeting is scheduled for 10:30 AM tomorrow.,tomorrow,DATE,0.82,Relative date expression
26,The budget was approved with ₹5 crore allocated.,₹5 crore,MONEY,0.94,
27,Microsoft Corporation acquired LinkedIn in 2016.,Microsoft Corporation,ORGANIZATION,0.97,
27,Microsoft Corporation acquired LinkedIn in 2016.,LinkedIn,ORGANIZATION,0.96,
27,Microsoft Corporation acquired LinkedIn in 2016.,2016,DATE,0.93,
28,The conference will take place in New Delhi on 15 August 2024.,New Delhi,LOCATION,0.95,
28,The conference will take place in New Delhi on 15 August 2024.,########,DATE,0.94,
29,Apple announced the iPhone 15 Pro at its annual event.,Apple,ORGANIZATION,0.96,
29,Apple announced the iPhone 15 Pro at its annual event.,iPhone 15 Pro,PRODUCT,0.95,
30,The concert featuring Arijit Singh was held in Kolkata.,Arijit Singh,PERSON,0.94,
30,The concert featuring Arijit Singh was held in Kolkata.,Kolkata,LOCATION,0.95,
31,Virat Kohli scored a century at Eden Gardens.,Virat Kohli,PERSON,0.96,
31,Virat Kohli scored a century at Eden Gardens.,Eden Gardens,LOCATION,0.91,Stadium; could be tagged as LOCATION or ORGANIZATION
32,The Amazon Great Indian Festival starts on 1 October 2024.,Amazon Great Indian Festival,EVENT,0.92,
32,The Amazon Great Indian Festival starts on 1 October 2024.,01-Oct-24,DATE,0.95,
33,Infosys reported a profit of $2 billion in Q4 2023.,Infosys,ORGANIZATION,0.97,
33,Infosys reported a profit of $2 billion in Q4 2023.,$2 billion,MONEY,0.94,
33,Infosys reported a profit of Q4 2023.,Q4 2023,DATE,0.88,Fiscal quarter expression
34,The train departs from Chennai at 6:45 PM.,Chennai,LOCATION,0.95,
34,The train departs from Chennai at 6:45 PM.,6:45 PM,TIME,0.96,
35,ISRO launched Chandrayaan-3 successfully.,ISRO,ORGANIZATION,0.97,
35,ISRO launched Chandrayaan-3 successfully.,Chandrayaan-3,PRODUCT,0.9,Space mission; could also be tagged as EVENT
36,"The payment of ₹12,500 was processed on 12 Jan 2025.","₹ 12,500",MONEY,0.95,
36,"The payment of ₹12,500 was processed on 12 Jan 2025.",12-Jan-25,DATE,0.94,
37,Narendra Modi addressed the nation on Independence Day.,Narendra Modi,PERSON,0.96,
37,Narendra Modi addressed the nation on Independence Day.,Independence Day,EVENT,0.89,Recurring national event
38,The Samsung Galaxy S23 was unveiled in February 2023.,Samsung,ORGANIZATION,0.95,
38,The Samsung Galaxy S23 was unveiled in February 2023.,Galaxy S23,PRODUCT,0.94,
38,The Samsung Galaxy S23 was unveiled in February 2023.,Feb-23,DATE,0.92,
39,The World Health Organization issued new guidelines.,World Health Organization,ORGANIZATION,0.98,
40,The workshop will be held in Bengaluru next Monday.,Bengaluru,LOCATION,0.95,
40,The workshop will be held in Bengaluru next Monday.,next Monday,DATE,0.83,Relative date expression
41,Flipkart announced Big Billion Days sale in October 2024.,Flipkart,ORGANIZATION,0.96,
41,Flipkart announced Big Billion Days sale in October 2024.,Big Billion Days,EVENT,0.92,
41,Flipkart announced Big Billion Days sale in October 2024.,Oct-24,DATE,0.94,
42,Rohit Sharma met Joe Biden in Washington.,Rohit Sharma,PERSON,0.95,
42,Rohit Sharma met Joe Biden in Washington.,Joe Biden,PERSON,0.97,
42,Rohit Sharma met Joe Biden in Washington.,Washington,LOCATION,0.9,Ambiguous; could be city or state
43,The Reserve Bank of India increased interest rates.,Reserve Bank of India,ORGANIZATION,0.98,
44,The deadline for submission is 31 March 2025 at 11:59 PM.,########,DATE,0.96,
44,The deadline for submission is 31 March 2025 at 11:59 PM.,11:59 PM,TIME,0.97,
45,TCS signed a deal worth ₹800 crore.,TCS,ORGANIZATION,0.97,
45,TCS signed a deal worth ₹800 crore.,₹800 crore,MONEY,0.95,
46,The ICC Champions Trophy 2025 will be hosted in Pakistan.,ICC Champions Trophy 2025,EVENT,0.93,
46,The ICC Champions Trophy 2025 will be hosted in Pakistan.,Pakistan,LOCATION,0.96,
47,Adobe released Photoshop 2024 globally.,Adobe,ORGANIZATION,0.96,
47,Adobe released Photoshop 2024 globally.,Photoshop 2024,PRODUCT,0.93,
48,The seminar by Dr. APJ Abdul Kalam was inspiring.,APJ Abdul Kalam,PERSON,0.94,Title removed from entity
49,The startup received funding from Sequoia Capital.,Sequoia Capital,ORGANIZATION,0.95,
50,The event begins at 9:00 AM on Sunday.,9:00 AM,TIME,0.97,
50,The event begins at 9:00 AM on Sunday.,Sunday,DATE,0.85,Day reference without full date
51,HDFC Bank opened a new branch in Jaipur.,HDFC Bank,ORGANIZATION,0.97,
51,HDFC Bank opened a new branch in Jaipur.,Jaipur,LOCATION,0.96,
52,The G20 Summit 2023 was held in New Delhi.,G20 Summit 2023,EVENT,0.94,
52,The G20 Summit 2023 was held in New Delhi.,New Delhi,LOCATION,0.95,
53,Elon Musk acquired Twitter for $44 billion.,Elon Musk,PERSON,0.97,
53,Elon Musk acquired Twitter for $44 billion.,Twitter,ORGANIZATION,0.96,
53,Elon Musk acquired Twitter for $44 billion.,$44 billion,MONEY,0.95,
54,The SBI clerk exam is scheduled on 5 July 2025.,SBI,ORGANIZATION,0.93,Abbreviation of State Bank of India
54,The SBI clerk exam is scheduled on 5 July 2025.,05-Jul-25,DATE,0.96,
55,The movie Pathaan starring Shah Rukh Khan broke records.,Pathaan,PRODUCT,0.88,Movie title; could also be creative work category
55,The movie Pathaan starring Shah Rukh Khan broke records.,Shah Rukh Khan,PERSON,0.97,
56,The package will arrive at 3:15 PM today.,3:15 PM,TIME,0.97,
56,The package will arrive at 3:15 PM today.,today,DATE,0.84,Relative date expression
57,Paytm reported losses of ₹250 crore in FY2024.,Paytm,ORGANIZATION,0.96,
57,Paytm reported losses of ₹250 crore in FY2024.,₹250 crore,MONEY,0.95,
57,Paytm reported losses of ₹250 crore in FY2024.,FY2024,DATE,0.89,Fiscal year expression
58,The Asia Cup 2022 final was thrilling.,Asia Cup 2022,EVENT,0.93,
59,Reliance Industries is headquartered in Mumbai.,Reliance Industries,ORGANIZATION,0.97,
59,Reliance Industries is headquartered in Mumbai.,Mumbai,LOCATION,0.96,
60,The workshop will start next Friday at 2:00 PM.,next Friday,DATE,0.85,Relative weekday expression
60,The workshop will start next Friday at 2:00 PM.,2:00 PM,TIME,0.97,
61,Google announced Gemini AI in December 2023.,Google,ORGANIZATION,0.97,
61,Google announced Gemini AI in December 2023.,Gemini AI,PRODUCT,0.9,AI model; could be tagged as PRODUCT or EVENT
61,Google announced Gemini AI in December 2023.,Dec-23,DATE,0.94,
62,The IPL 2024 final will be played in Chennai.,IPL 2024,EVENT,0.93,
62,The IPL 2024 final will be played in Chennai.,Chennai,LOCATION,0.96,
63,Amit Shah visited Hyderabad on 10 January 2025.,Amit Shah,PERSON,0.96,
63,Amit Shah visited Hyderabad on 10 January 2025.,Hyderabad,LOCATION,0.95,
63,Amit Shah visited Hyderabad on 10 January 2025.,10-Jan-25,DATE,0.96,
64,The startup raised €5 million from Accel Partners.,€5 million,MONEY,0.95,
64,The startup raised €5 million from Accel Partners.,Accel Partners,ORGANIZATION,0.94,
65,The lecture by Sundar Pichai was streamed live at 8:00 PM.,Sundar Pichai,PERSON,0.97,
65,The lecture by Sundar Pichai was streamed live at 8:00 PM.,8:00 PM,TIME,0.97,
66,The RBI policy meeting is on 7 February 2025.,RBI,ORGANIZATION,0.92,Abbreviation of Reserve Bank of India
66,The RBI policy meeting is on 7 February 2025.,########,DATE,0.96,
67,Meta Platforms launched Threads in July 2023.,Meta Platforms,ORGANIZATION,0.96,
67,Meta Platforms launched Threads in July 2023.,Threads,PRODUCT,0.91,Social media platform
67,Meta Platforms launched Threads in July 2023.,Jul-23,DATE,0.94,
68,The Commonwealth Games 2022 were held in Birmingham.,Commonwealth Games 2022,EVENT,0.94,
68,The Commonwealth Games 2022 were held in Birmingham.,Birmingham,LOCATION,0.95,
69,Tata Motors unveiled the Nexon EV Max.,Tata Motors,ORGANIZATION,0.97,
69,Tata Motors unveiled the Nexon EV Max.,Nexon EV Max,PRODUCT,0.94,
70,The court hearing is scheduled for Monday at 4:30 PM.,Monday,DATE,0.86,Weekday without specific date
70,The court hearing is scheduled for Monday at 4:30 PM.,4:30 PM,TIME,0.97,
71,Netflix released Stranger Things Season 5 in 2025.,Netflix,ORGANIZATION,0.97,
71,Netflix released Stranger Things Season 5 in 2025.,Stranger Things Season 5,PRODUCT,0.89,TV series season; creative work
71,Netflix released Stranger Things Season 5 in 2025.,2025,DATE,0.95,
72,The UN Climate Summit 2024 was organized in Dubai.,UN Climate Summit 2024,EVENT,0.93,
72,The UN Climate Summit 2024 was organized in Dubai.,Dubai,LOCATION,0.96,
73,Priyanka Chopra attended the Oscars 2023 ceremony.,Priyanka Chopra,PERSON,0.97,
73,Priyanka Chopra attended the Oscars 2023 ceremony.,Oscars 2023,EVENT,0.92,
74,"The payment of $1,200 was credited on 14 April 2025.","$1,200",MONEY,0.96,
74,"The payment of $1,200 was credited on 14 April 2025.",########,DATE,0.96,
75,IBM partnered with NASA for a space research project.,IBM,ORGANIZATION,0.97,
75,IBM partnered with NASA for a space research project.,NASA,ORGANIZATION,0.98,
76,The Amazon Prime Day sale begins at 12:00 AM.,Amazon Prime Day,EVENT,0.91,
76,The Amazon Prime Day sale begins at 12:00 AM.,12:00 AM,TIME,0.97,
77,Deepika Padukone signed a contract with Louis Vuitton.,Deepika Padukone,PERSON,0.97,
77,Deepika Padukone signed a contract with Louis Vuitton.,Louis Vuitton,ORGANIZATION,0.95,
78,The Asia Pacific Economic Forum 2023 was held in Tokyo.,Asia Pacific Economic Forum 2023,EVENT,0.92,
78,The Asia Pacific Economic Forum 2023 was held in Tokyo.,Tokyo,LOCATION,0.96,
79,"Byju's reported revenue of ₹3,500 crore in FY2023.",Byju's,ORGANIZATION,0.95,
79,"Byju's reported revenue of ₹3,500 crore in FY2023.","₹3,500 crore",MONEY,0.96,
79,Byju's reported revenue of FY2023.,FY2023,DATE,0.88,Fiscal year expression
80,The webinar will take place next Wednesday at 5:00 PM.,next Wednesday,DATE,0.85,Relative weekday expression
80,The webinar will take place next Wednesday at 5:00 PM.,5:00 PM,TIME,0.97,
