ID,TEXT,ENTITY,LABEL,CONFIDENCE_SCORE,COMMENT
13,Barack Obama visited New York on March 12.,New York,LOCATION,0.97,
13,Barack Obama visited New York on March 12.,Mar-12,DATE,0.95,No year mentioned
,,,,,
14,OpenAI partnered with Microsoft in San Francisco in 2024.,OpenAI,ORGANIZATION,0.99,
14,OpenAI partnered with Microsoft in San Francisco in 2024.,Microsoft,ORGANIZATION,0.99,
14,OpenAI partnered with Microsoft in San Francisco in 2024.,San Francisco,LOCATION,0.97,
14,OpenAI partnered with Microsoft in San Francisco in 2024.,2024,DATE,0.96,
,,,,,
15,Ankit met Rahul in Goa at 6 PM on Sunday.,Ankit,PERSON,0.97,
15,Ankit met Rahul in Goa at 6 PM on Sunday.,Rahul,PERSON,0.97,
15,Ankit met Rahul in Goa at 6 PM on Sunday.,Goa,LOCATION,0.97,
15,Ankit met Rahul in Goa at 6 PM on Sunday.,6:00 PM,TIME,0.96,
15,Ankit met Rahul in Goa at 6 PM on Sunday.,Sunday,DATE,0.95,Relative calendar reference
,,,,,
16,Tesla Model Y was priced at $45000 in the United States.,Tesla Model Y,PRODUCT,0.95,Full product boundary required
16,Tesla Model Y was priced at $45000 in the United States.,"$45,000",MONEY,0.97,
16,Tesla Model Y was priced at $45000 in the United States.,United States,LOCATION,0.97,
,,,,,
17,The FIFA World Cup was held in Qatar in 2022.,FIFA,ORGANIZATION,0.95,Event vs organization confusion possible
17,The FIFA World Cup was held in Qatar in 2022.,Qatar,LOCATION,0.97,
17,The FIFA World Cup was held in Qatar in 2022.,2022,DATE,0.96,
,,,,,
18,Priya transferred ₹25000 to State Bank of India on Monday.,Priya,PERSON,0.97,
18,Priya transferred ₹25000 to State Bank of India on Monday.,"₹ 25,000",MONEY,0.97,
18,Priya transferred ₹25000 to State Bank of India on Monday.,State Bank of India,ORGANIZATION,0.99,
18,Priya transferred ₹25000 to State Bank of India on Monday.,Monday,DATE,0.95,Relative date
,,,,,
19,Stanford University invited Sundar Pichai in 2022.,Stanford University,ORGANIZATION,0.99,
19,Stanford University invited Sundar Pichai in 2022.,Sundar Pichai,PERSON,0.99,
19,Stanford University invited Sundar Pichai in 2022.,2022,DATE,0.96,
,,,,,
20,Apple Watch Ultra was unveiled in Cupertino on September 7 2022.,Apple Watch Ultra,PRODUCT,0.95,Full device name critical
20,Apple Watch Ultra was unveiled in Cupertino on September 7 2022.,Cupertino,LOCATION,0.97,
20,Apple Watch Ultra was unveiled in Cupertino on September 7 2022.,September 7 2022,DATE,0.96,
"20,Apple Watch Ultra was unveiled in Cupertino on September 7 2022.,September 7 2022,DATE,0.96",,,,,
