ID,Text,Category,Confidence_Score,Comment
61,Health experts advised hydration during summer.,Health,0.87,
62,The institute signed MoUs for student exchange.,Education,0.88,
63,Commodity prices fluctuated after global tensions.,Finance,0.93,
64,The cruise operator added new Mediterranean routes.,Travel,0.89,
65,The tennis federation revised ranking criteria.,Sports,0.91,
66,The prime minister unveiled a rural housing scheme.,Politics,0.84,Overlap with Finance (economic scheme)
67,A biotech startup secured AI-based drug discovery funding.,Technology,0.86,Overlap with Health & Finance
68,The comedy special trended on streaming platforms.,Entertainment,0.9,
69,Hospitals introduced advanced cardiac monitoring systems.,Health,0.91,
70,The training center launched coding bootcamps.,Education,0.85,Could overlap with Technology
71,Equity markets closed higher after trade optimism.,Finance,0.94,
72,The desert festival attracted adventure travelers.,Travel,0.88,
73,The hockey federation scheduled national trials.,Sports,0.9,
74,The opposition leader addressed economic concerns.,Politics,0.87,
75,A new operating system version improves security.,Technology,0.94,
76,The film adaptation of the novel hits theaters soon.,Entertainment,0.91,
77,Dieticians emphasized plant-based nutrition.,Health,0.88,
78,The education council revised accreditation standards.,Education,0.86,
79,Investors showed interest in renewable energy stocks.,Finance,0.92,
80,The tourism ministry launched visa-on-arrival facilities.,Travel,0.89,
81,The athletics squad prepared for continental games.,Sports,0.93,
82,The senate debated data localization policies.,Politics,0.85,Overlap with Technology
83,An AI-powered drone monitors crop health.,Technology,0.9,Overlap with Agriculture domain
84,The actor’s documentary received global praise.,Entertainment,0.92,
85,Medical camps provided free health screenings.,Health,0.91,
86,The university introduced interdisciplinary degrees.,Education,0.87,
87,The stock index hit an all-time high.,Finance,0.95,
88,The airline resumed long-haul international flights.,Travel,0.88,
89,The football academy recruited young prospects.,Sports,0.92,
90,The cabinet approved reforms in digital governance.,Politics,0.86,Overlap with Technology
91,A quantum computing lab achieved a new milestone.,Technology,0.93,
92,The awards gala honored emerging filmmakers.,Entertainment,0.9,
93,Doctors recommended routine mental health checkups.,Health,0.89,
94,The college hosted a global innovation summit.,Education,0.88,
95,Inflation data influenced investor sentiment.,Finance,0.94,
96,The mountain resort reported record bookings.,Travel,0.9,
97,The national kabaddi league expanded teams.,Sports,0.91,
98,The president signed a cybersecurity cooperation pact.,Politics,0.84,Overlap with Technology
99,A wearable gadget tracks sleep patterns accurately.,Technology,0.92,Overlap with Health
100,The cultural festival celebrated regional cinema.,Entertainment,0.89,
