ID,TEXT,LABEL,CONFIDENCE_SCORE,COMMENT
60,Health authorities issued guidelines on water safety.,Health,0.91,
61,The training institute offers certification programs.,Education,0.85,
62,Share markets reacted to global trade tensions.,Finance,0.93,
63,The mountain trekking season begins in April.,Travel,0.88,
64,The cricket academy signed young talents.,Sports,0.9,
65,The government unveiled a renewable energy initiative.,Politics,0.84,Could overlap with Technology (energy tech focus)
66,Developers introduced an AI chatbot for customer support.,Technology,0.95,
67,The singer collaborated with international artists.,Entertainment,0.92,
68,Medical researchers are studying rare genetic disorders.,Health,0.93,
69,The school organized a science exhibition.,Education,0.89,
70,Banking stocks rallied after policy announcements.,Finance,0.94,
71,The travel agency launched customized holiday packages.,Travel,0.87,
72,The national hockey league schedule was updated.,Sports,0.91,
73,The foreign minister held talks with neighboring countries.,Politics,0.88,
74,A semiconductor plant was inaugurated this week.,Technology,0.92,
75,The drama series finale left fans emotional.,Entertainment,0.9,
76,Dieticians highlighted the risks of processed food.,Health,0.88,
77,The university signed MoUs with global institutions.,Education,0.87,
78,The economy grew by 6 percent this quarter.,Finance,0.95,
79,The heritage site reopened after restoration work.,Travel,0.89,
80,The athletics meet concluded with record-breaking performances.,Sports,0.93,
81,The lawmaker introduced a bill on digital taxation.,Politics,0.86,Overlap between Politics and Finance
82,A tech firm patented a new AI algorithm.,Technology,0.94,
83,The film star attended an international film summit.,Entertainment,0.91,
84,Doctors urged regular health checkups for seniors.,Health,0.9,
85,The board exam results were declared today.,Education,0.92,
86,The IPO received strong investor response.,Finance,0.95,
87,The airline expanded routes to Southeast Asia.,Travel,0.88,
88,The kabaddi league auctioned new players.,Sports,0.89,
89,The chief minister addressed the state assembly.,Politics,0.9,
90,A startup launched an AI-driven hiring platform.,Technology,0.91,
91,The movie trailer crossed 10 million views online.,Entertainment,0.92,
92,Health workers conducted vaccination drives in rural areas.,Health,0.93,
93,The institute opened admissions for MBA programs.,Education,0.9,
94,Inflation impacted retail sales this month.,Finance,0.94,
95,The tourism ministry promoted eco-tourism campaigns.,Travel,0.88,
96,The football club signed an international striker.,Sports,0.93,
97,The opposition demanded transparency in budget allocation.,Politics,0.87,
98,A new AI-powered wearable device monitors heart rate.,Technology,0.9,Overlap between Technology and Health
99,The awards ceremony celebrated regional cinema.,Entertainment,0.89,
100,Researchers published findings on pandemic preparedness.,Health,0.91,
